Dbkey,Station,Site,Group Name,Data Type,Frequency,Statistic Type,Recorder,Agency,Start Date,End Date,Strata,County,Op Num,Latitude,Longitude,X COORD,Y COORD,Basin,Structure Type,Section,Township,Range,Days of Data,NAVD 88 Correction
L7458,CRS05NM,CRS05N,CRS05N,WELL,DA,MEAN,CR10,WMD,3-Nov-99,12-Jul-20,53.7,HEN,,263855.69,811530.756,571719.77,841597.617,EAST CAL,,17,44,31,7557,-1.289
L7457,CRS05NS,CRS05N,CRS05N,WELL,DA,MEAN,CR10,WMD,3-Nov-99,12-Jul-20,9.97,HEN,,263855.69,811530.756,571719.77,841597.617,EAST CAL,,17,44,31,7557,-1.289
L7471,CRS05FM,CRS05F,CRS05F,WELL,DA,MEAN,CR10,WMD,3-Nov-99,12-Jul-20,66,HEN,,263855.835,811521.565,572553.696,841610.578,EAST CAL,,17,44,31,7557,-1.289
L7470,CRS05FS,CRS05F,CRS05F,WELL,DA,MEAN,CR10,WMD,3-Nov-99,12-Jul-20,8.66,HEN,,263855.835,811521.565,572553.696,841610.578,EAST CAL,,17,44,31,7557,-1.289
L7469,CRS04FM,CRS04F,CRS04F,WELL,DA,MEAN,CR10,WMD,3-Nov-99,12-Jul-20,51.15,HEN,,264506.98,811011.672,600720.528,879038.224,EAST CAL,,18,43,32,7557,-1.266
L7468,CRS04FS,CRS04F,CRS04F,WELL,DA,MEAN,CR10,WMD,3-Nov-99,12-Jul-20,7.28,HEN,,264506.98,811011.672,600720.528,879038.224,EAST CAL,,18,43,32,7557,-1.266
W4324,LAB-SU1,LABPW2,LABPW2,WELL,DA,MEAN,CR10,WMD,24-Dec-08,9-Jul-20,30,HEN,,264509.376,812816.097,502419.514,879527.585,WEST CAL,,12,43,28,4215,-1.28
15242,FTDN-S,FTDN,FTDN,WELL,DA,MEAN,CR10,WMD,25-Feb-92,12-Jul-20,13,HEN,,264541.9,812940.9,494744.971,882840.807,WEST CAL,,2,43,28,10365,-1.276
15241,FT.DENAUDE,FTDN,FTDN,WELL,DA,MEAN,CR10,WMD,25-Feb-92,12-Jul-20,114,HEN,,264541.93,812940.9,494744.971,882843.807,WEST CAL,,2,43,28,10365,-1.276
L7467,CRS03FM,CRS03F,CRS03F,WELL,DA,MEAN,CR10,WMD,2-Nov-99,12-Jul-20,58.19,GLA,,264655.813,811016.613,600286.918,890027.707,EAST CAL,,31,42,32,7558,-1.23
L7466,CRS03FS,CRS03F,CRS03F,WELL,DA,MEAN,CR10,WMD,2-Nov-99,12-Jul-20,12.78,GLA,,264655.813,811016.613,600286.918,890027.707,EAST CAL,,31,42,32,7558,-1.23
L7452,CRS03NM,CRS03N,CRS03N,WELL,DA,MEAN,CR10,WMD,2-Nov-99,12-Jul-20,56.24,GLA,,264656.616,811017.883,600171.996,890109.033,EAST CAL,,31,42,32,7558,-1.23
L7451,CRS03NS,CRS03N,CRS03N,WELL,DA,MEAN,CR10,WMD,2-Nov-99,12-Jul-20,13.48,GLA,,264656.616,811017.883,600171.996,890109.033,EAST CAL,,31,42,32,7558,-1.23
L7463,CRS01FM,CRS01F,CRS01F,WELL,DA,MEAN,CR10,WMD,2-Nov-99,12-Jul-20,58.69,GLA,,264716.602,811804.484,557891.616,892205.684,EAST CAL,,26,42,30,7558,-1.171
