Dbkey,Station,Site,Group Name,Data Type,Frequency,Statistic Type,Recorder,Agency,Start Date,End Date,Days of Data,Strata,County,Op Num,NAVD88_correction,Latitude,Longitude,X COORD,Y COORD,Basin,Structure Type,Section,Township,Range
NV387,CH323,CH323,CH323,WELL,DA,MAX,????,USGS,16-May-01,30-Oct-18,6376,33,CHA,,-1.184,264754,814608,405351.77,896624.05,TIDCAL.N,,25,42,25
37453,CH323,CH323,CH323,WELL,RI,RAND,TAPE,USGS,14-Oct-08,29-May-20,4245,33,CHA,,-1.184,264754,814608,405351.77,896624.05,TIDCAL.N,,25,42,25
NV388,CH324,CH324,CH324,WELL,DA,MAX,????,USGS,16-May-01,30-Oct-18,6376,192,CHA,,-1.184,264754,814610,405171.39,896627.032,TIDCAL.N,,25,42,25
37454,CH324,CH324,CH324,WELL,RI,RAND,TAPE,USGS,14-Oct-08,25-Jun-20,4272,192,CHA,,-1.184,264754,814610,405171.39,896627.032,TIDCAL.N,,25,42,25
L7463,CRS01FM,CRS01F,CRS01F,WELL,DA,MEAN,CR10,WMD,2-Nov-99,15-Jul-20,7561,58.69,GLA,,-1.171,264716.602,811804.484,557891.616,892205.684,EAST CAL,,26,42,30
TA201,CRS01FS,CRS01F,CRS01F,WELL,DA,MEAN,MOD1,WMD,2-Nov-99,31-Dec-12,4808,19,GLA,,-1.171,264716.602,811804.484,557891.616,892205.684,EAST CAL,,26,42,30
L7462,CRS01FS,CRS01F,CRS01F,WELL,DA,MEAN,CR10,WMD,2-Nov-99,15-Jul-20,7561,19,GLA,,-1.171,264716.602,811804.484,557891.616,892205.684,EAST CAL,,26,42,30
TA202,CRS01NS,CRS01N,CRS01N,WELL,DA,MEAN,MOD1,WMD,2-Nov-99,5-Dec-12,4782,19.03,GLA,,-1.168,264719.856,811805.155,557831.589,892534.391,EAST CAL,,26,42,30
TA204,CRS02FS,CRS02F,CRS02F,WELL,DA,MEAN,MOD1,WMD,3-Nov-99,27-Sep-12,4712,22.43,GLA,,-1.207,264719.846,811402.467,579823.685,892487.065,EAST CAL,,28,42,31
L7449,CRS02NM,CRS02N,CRS02N,WELL,DA,MEAN,CR10,WMD,4-Nov-99,15-Jul-20,7559,59.01,GLA,,-1.207,264722.917,811400.717,579982.837,892796.857,EAST CAL,,28,42,31
TA205,CRS02NS,CRS02N,CRS02N,WELL,DA,MEAN,MOD1,WMD,4-Nov-99,31-Dec-12,4806,22.41,GLA,,-1.207,264722.917,811400.717,579982.837,892796.857,EAST CAL,,28,42,31
L7448,CRS02NS,CRS02N,CRS02N,WELL,DA,MEAN,CR10,WMD,4-Nov-99,15-Jul-20,7559,22.41,GLA,,-1.207,264722.917,811400.717,579982.837,892796.857,EAST CAL,,28,42,31
L7467,CRS03FM,CRS03F,CRS03F,WELL,DA,MEAN,CR10,WMD,2-Nov-99,15-Jul-20,7561,58.19,GLA,,-1.23,264655.813,811016.613,600286.918,890027.707,EAST CAL,,31,42,32
L7466,CRS03FS,CRS03F,CRS03F,WELL,DA,MEAN,CR10,WMD,2-Nov-99,15-Jul-20,7561,12.78,GLA,,-1.23,264655.813,811016.613,600286.918,890027.707,EAST CAL,,31,42,32
L7452,CRS03NM,CRS03N,CRS03N,WELL,DA,MEAN,CR10,WMD,2-Nov-99,15-Jul-20,7561,56.24,GLA,,-1.23,264656.616,811017.883,600171.996,890109.033,EAST CAL,,31,42,32
TA203,CRS03NS,CRS03N,CRS03N,WELL,DA,MEAN,MOD1,WMD,2-Nov-99,31-Dec-12,4808,13.48,GLA,,-1.23,264656.616,811017.883,600171.996,890109.033,EAST CAL,,31,42,32
L7451,CRS03NS,CRS03N,CRS03N,WELL,DA,MEAN,CR10,WMD,2-Nov-99,15-Jul-20,7561,13.48,GLA,,-1.23,264656.616,811017.883,600171.996,890109.033,EAST CAL,,31,42,32
L7469,CRS04FM,CRS04F,CRS04F,WELL,DA,MEAN,CR10,WMD,3-Nov-99,15-Jul-20,7560,51.15,HEN,,-1.266,264506.98,811011.672,600720.528,879038.224,EAST CAL,,18,43,32
L7468,CRS04FS,CRS04F,CRS04F,WELL,DA,MEAN,CR10,WMD,3-Nov-99,15-Jul-20,7560,7.28,HEN,,-1.266,264506.98,811011.672,600720.528,879038.224,EAST CAL,,18,43,32
L7471,CRS05FM,CRS05F,CRS05F,WELL,DA,MEAN,CR10,WMD,3-Nov-99,15-Jul-20,7560,66,HEN,,-1.289,263855.835,811521.565,572553.696,841610.578,EAST CAL,,17,44,31
